agegroup,Date,Sex,Active_Cases,Active_numbers,Active_Numbers_Female,Active_Numbers_Male,Cases,Cases_Female,Cases_Male,Daily_Recovered,Number of Records,Zero
40-49,3/02/2020,Female,1,1,1,0,,,0,,1,0
50-59,3/02/2020,Female,0,0,0,0,0,0,0,0,1,0
60-69,3/02/2020,Female,0,0,0,0,0,0,0,0,1,0
70-79,3/02/2020,Female,0,0,0,0,0,0,0,0,1,0
80-89,3/02/2020,Female,0,0,0,0,0,0,0,0,1,0
90+,3/02/2020,Female,0,0,0,0,0,0,0,0,1,0
0-9,3/02/2020,Male,0,0,0,0,0,0,0,0,1,0
10-19,3/02/2020,Male,0,0,0,0,0,0,0,0,1,0
20-29,3/02/2020,Male,0,0,0,0,0,0,0,0,1,0
30-39,3/02/2020,Male,0,0,0,0,0,0,0,0,1,0
40-49,3/02/2020,Male,0,0,0,0,0,0,0,0,1,0
50-59,3/02/2020,Male,1,1,0,1,,0,,,1,0
60-69,3/02/2020,Male,1,1,0,1,,0,,,1,0
70-79,3/02/2020,Male,0,0,0,0,0,0,0,0,1,0
80-89,3/02/2020,Male,0,0,0,0,0,0,0,0,1,0
90+,3/02/2020,Male,0,0,0,0,0,0,0,0,1,0
0-9,3/02/2020,Other,0,0,0,0,0,0,0,0,1,0
10-19,3/02/2020,Other,0,0,0,0,0,0,0,0,1,0
20-29,3/02/2020,Other,0,0,0,0,0,0,0,0,1,0
30-39,3/02/2020,Other,0,0,0,0,0,0,0,0,1,0
40-49,3/02/2020,Other,0,0,0,0,0,0,0,0,1,0
50-59,3/02/2020,Other,0,0,0,0,0,0,0,0,1,0
60-69,3/02/2020,Other,0,0,0,0,0,0,0,0,1,0
70-79,3/02/2020,Other,0,0,0,0,0,0,0,0,1,0
80-89,3/02/2020,Other,0,0,0,0,0,0,0,0,1,0
90+,3/02/2020,Other,0,0,0,0,0,0,0,0,1,0
0-9,4/02/2020,Female,0,0,0,0,0,0,0,0,1,0
10-19,4/02/2020,Female,0,0,0,0,0,0,0,0,1,0
20-29,4/02/2020,Female,1,1,1,0,,,0,,1,0
30-39,4/02/2020,Female,0,0,0,0,0,0,0,0,1,0
40-49,4/02/2020,Female,1,1,1,0,,,0,,1,0
50-59,4/02/2020,Female,0,0,0,0,0,0,0,0,1,0
60-69,4/02/2020,Female,0,0,0,0,0,0,0,0,1,0
70-79,4/02/2020,Female,0,0,0,0,0,0,0,0,1,0
80-89,4/02/2020,Female,0,0,0,0,0,0,0,0,1,0
90+,4/02/2020,Female,0,0,0,0,0,0,0,0,1,0
0-9,4/02/2020,Male,0,0,0,0,0,0,0,0,1,0
10-19,4/02/2020,Male,0,0,0,0,0,0,0,0,1,0
20-29,4/02/2020,Male,0,0,0,0,0,0,0,0,1,0
30-39,4/02/2020,Male,0,0,0,0,0,0,0,0,1,0
40-49,4/02/2020,Male,0,0,0,0,0,0,0,0,1,0
50-59,4/02/2020,Male,1,1,0,1,,0,,,1,0
60-69,4/02/2020,Male,1,1,0,1,,0,,,1,0
70-79,4/02/2020,Male,0,0,0,0,0,0,0,0,1,0
80-89,4/02/2020,Male,0,0,0,0,0,0,0,0,1,0
90+,4/02/2020,Male,0,0,0,0,0,0,0,0,1,0
0-9,4/02/2020,Other,0,0,0,0,0,0,0,0,1,0
10-19,4/02/2020,Other,0,0,0,0,0,0,0,0,1,0
20-29,4/02/2020,Other,0,0,0,0,0,0,0,0,1,0
30-39,4/02/2020,Other,0,0,0,0,0,0,0,0,1,0
40-49,4/02/2020,Other,0,0,0,0,0,0,0,0,1,0
50-59,4/02/2020,Other,0,0,0,0,0,0,0,0,1,0
60-69,4/02/2020,Other,0,0,0,0,0,0,0,0,1,0
70-79,4/02/2020,Other,0,0,0,0,0,0,0,0,1,0
80-89,4/02/2020,Other,0,0,0,0,0,0,0,0,1,0
90+,4/02/2020,Other,0,0,0,0,0,0,0,0,1,0
0-9,5/02/2020,Female,0,0,0,0,0,0,0,0,1,0
10-19,5/02/2020,Female,0,0,0,0,0,0,0,0,1,0
20-29,5/02/2020,Female,1,1,1,0,,,0,,1,0
30-39,5/02/2020,Female,0,0,0,0,0,0,0,0,1,0
40-49,5/02/2020,Female,1,1,1,0,,,0,,1,0
50-59,5/02/2020,Female,0,0,0,0,0,0,0,0,1,0
60-69,5/02/2020,Female,0,0,0,0,0,0,0,0,1,0
70-79,5/02/2020,Female,0,0,0,0,0,0,0,0,1,0
80-89,5/02/2020,Female,0,0,0,0,0,0,0,0,1,0
90+,5/02/2020,Female,0,0,0,0,0,0,0,0,1,0
0-9,5/02/2020,Male,0,0,0,0,0,0,0,0,1,0
